id,minute,phase,inject_type,message,expected_response,severity,artifact_reference,tags,created
X0134,81,Decision,training_job,Third-party dataset shows distributional shift vs baseline reference.,Throttle traffic and fallback to canary; alert SRE.,low,artifact:x0134-artifact,data-quality,2026-02-11T06:55:27.476188Z
X0135,185,Decision,model_infiltration,Simulated ingestion artifact with altered column ordering (no PII).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,artifact:x0135-artifact,comms|rate-limit,2026-02-11T06:55:27.476188Z
X0136,172,Decision,ingest_file,Minor throughput variance during scheduled load window (exercise-only).,Throttle traffic and fallback to canary; alert SRE.,medium,artifact:x0136-artifact,exfil-detection|throughput|thirdparty,2026-02-11T06:55:27.476188Z
X0137,90,Decision,regulatory_notice,User-submitted prompt pattern matches known 'instruction override' heuristic.,Throttle traffic and fallback to canary; alert SRE.,low,,comms,2026-02-11T06:55:27.476188Z
X0138,58,Ambiguity,media_inquiry,User-submitted prompt pattern matches known 'instruction override' heuristic.,Legal to assess reporting obligations; prepare holding statement.,high,,prompt-inject|comms|data-quality,2026-02-11T06:55:27.476188Z
X0139,184,Signal,regulatory_notice,Third-party dataset shows distributional shift vs baseline reference.,Throttle traffic and fallback to canary; alert SRE.,high,,legal,2026-02-11T06:55:27.476188Z
X0140,22,Containment,monitoring_alert,Training job completed with unexpected dependency marker (sandbox-only).,Run statistical comparison; increase sampling; create drift alert.,high,service:sim-7,drift,2026-02-11T06:55:27.476188Z
X0141,40,Decision,model_infiltration,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Quarantine artifact; run provenance checks; notify ML-Ops.,medium,artifact:x0141-artifact,throughput|comms|provenance,2026-02-11T06:55:27.476188Z
X0142,93,Decision,prompt_injection,Simulated regulator 'request for information' received (exercise).,Quarantine artifact; run provenance checks; notify ML-Ops.,medium,case:SIM-9951,throughput|thirdparty|drift,2026-02-11T06:55:27.476188Z
X0143,75,Decision,model_infiltration,Simulated regulator 'request for information' received (exercise).,Run statistical comparison; increase sampling; create drift alert.,low,artifact:x0143-artifact,prompt-inject|comms,2026-02-11T06:55:27.476188Z
X0144,128,Signal,monitoring_alert,Simulated regulator 'request for information' received (exercise).,Monitor trend for 24h; no action unless persists beyond threshold.,high,service:sim-2,rate-limit|data-quality,2026-02-11T06:55:27.476188Z
X0145,210,Containment,prompt_injection,Synthetic prompt_injection observed in test harness with anomalous metadata pattern.,Legal to assess reporting obligations; prepare holding statement.,medium,case:SIM-3561,data-quality|throughput,2026-02-11T06:55:27.476188Z
X0146,84,Containment,sla_degrading,User-submitted prompt pattern matches known 'instruction override' heuristic.,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,service:sim-6,throughput|legal|rate-limit,2026-02-11T06:55:27.476188Z
X0147,12,Post-Incident,media_inquiry,Auxiliary feature store mismatch in column schema detected.,Legal to assess reporting obligations; prepare holding statement.,medium,,thirdparty,2026-02-11T06:55:27.476188Z
X0148,114,Decision,prompt_injection,Training job completed with unexpected dependency marker (sandbox-only).,Quarantine artifact; run provenance checks; notify ML-Ops.,low,case:SIM-7350,legal|latency,2026-02-11T06:55:27.476188Z
X0149,235,Decision,training_job,Auxiliary feature store mismatch in column schema detected.,Enable human-in-the-loop for affected paths; log prompts and context.,low,artifact:x0149-artifact,comms,2026-02-11T06:55:27.476188Z
X0150,154,Signal,sla_degrading,Alerts indicate increase in confident predictions for edge cases (synthetic).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,service:sim-1,legal|comms|data-quality,2026-02-11T06:55:27.476188Z
X0151,177,Decision,media_inquiry,Simulated regulator 'request for information' received (exercise).,Correct ingestion script; re-validate dataset; document fix.,medium,,thirdparty|legal,2026-02-11T06:55:27.476188Z
X0152,139,Signal,training_job,Minor throughput variance during scheduled load window (exercise-only).,Quarantine artifact; run provenance checks; notify ML-Ops.,low,artifact:x0152-artifact,rate-limit|canary|latency,2026-02-11T06:55:27.476188Z
X0153,225,Decision,training_job,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Enable human-in-the-loop for affected paths; log prompts and context.,medium,artifact:x0153-artifact,thirdparty|legal,2026-02-11T06:55:27.476188Z
X0154,177,Ambiguity,supply_chain_flag,Auxiliary feature store mismatch in column schema detected.,Monitor trend for 24h; no action unless persists beyond threshold.,low,,canary,2026-02-11T06:55:27.476188Z
X0155,14,Decision,training_job,Simulated regulator 'request for information' received (exercise).,Enable human-in-the-loop for affected paths; log prompts and context.,medium,artifact:x0155-artifact,legal|drift,2026-02-11T06:55:27.476188Z
X0156,189,Ambiguity,supply_chain_flag,User-submitted prompt pattern matches known 'instruction override' heuristic.,Legal to assess reporting obligations; prepare holding statement.,high,,exfil-detection,2026-02-11T06:55:27.476188Z
X0157,6,Signal,monitoring_alert,Alerts indicate increase in confident predictions for edge cases (synthetic).,Throttle traffic and fallback to canary; alert SRE.,medium,service:sim-3,latency,2026-02-11T06:55:27.476188Z
X0158,204,Containment,sla_degrading,Auxiliary feature store mismatch in column schema detected.,Triage and assign owner; collect logs; run canary test.,low,service:sim-3,prompt-inject,2026-02-11T06:55:27.476188Z
X0159,11,Containment,model_infiltration,Training job completed with unexpected dependency marker (sandbox-only).,Run statistical comparison; increase sampling; create drift alert.,medium,artifact:x0159-artifact,legal|prompt-inject,2026-02-11T06:55:27.476188Z
X0160,44,Decision,regulatory_notice,Simulated ingestion artifact with altered column ordering (no PII).,Enable human-in-the-loop for affected paths; log prompts and context.,high,,exfil-detection|canary,2026-02-11T06:55:27.476188Z
X0161,171,Ambiguity,monitoring_alert,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Throttle traffic and fallback to canary; alert SRE.,medium,service:sim-9,data-quality|comms|rate-limit,2026-02-11T06:55:27.476188Z
X0162,41,Ambiguity,prompt_injection,Alerts indicate increase in confident predictions for edge cases (synthetic).,Run statistical comparison; increase sampling; create drift alert.,low,case:SIM-6917,comms|exfil-detection,2026-02-11T06:55:27.476188Z
X0163,59,Ambiguity,user_report,Minor throughput variance during scheduled load window (exercise-only).,Legal to assess reporting obligations; prepare holding statement.,low,case:SIM-6389,thirdparty|canary,2026-02-11T06:55:27.476188Z
X0164,194,Ambiguity,regulatory_notice,Minor throughput variance during scheduled load window (exercise-only).,Legal to assess reporting obligations; prepare holding statement.,low,,throughput|drift,2026-02-11T06:55:27.476188Z
X0165,123,Ambiguity,supply_chain_flag,Third-party dataset shows distributional shift vs baseline reference.,Throttle traffic and fallback to canary; alert SRE.,critical,,data-quality,2026-02-11T06:55:27.476188Z
X0166,200,Post-Incident,supply_chain_flag,Auxiliary feature store mismatch in column schema detected.,Run statistical comparison; increase sampling; create drift alert.,medium,,throughput|canary|drift,2026-02-11T06:55:27.476188Z
X0167,142,Decision,user_report,Alerts indicate increase in confident predictions for edge cases (synthetic).,Quarantine artifact; run provenance checks; notify ML-Ops.,medium,case:SIM-4309,data-quality,2026-02-11T06:55:27.476188Z
X0168,231,Containment,training_job,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Throttle traffic and fallback to canary; alert SRE.,high,artifact:x0168-artifact,drift|throughput|rate-limit,2026-02-11T06:55:27.476188Z
X0169,222,Signal,user_report,Minor throughput variance during scheduled load window (exercise-only).,Monitor trend for 24h; no action unless persists beyond threshold.,medium,case:SIM-5848,exfil-detection,2026-02-11T06:55:27.476188Z
X0170,116,Ambiguity,training_job,Simulated regulator 'request for information' received (exercise).,Run statistical comparison; increase sampling; create drift alert.,high,artifact:x0170-artifact,provenance,2026-02-11T06:55:27.476188Z
X0171,164,Ambiguity,regulatory_notice,Alerts indicate increase in confident predictions for edge cases (synthetic).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,critical,,canary,2026-02-11T06:55:27.476188Z
X0172,230,Ambiguity,prompt_injection,Simulated ingestion artifact with altered column ordering (no PII).,Run statistical comparison; increase sampling; create drift alert.,high,case:SIM-3024,prompt-inject,2026-02-11T06:55:27.476188Z
X0173,227,Post-Incident,regulatory_notice,Synthetic regulatory_notice observed in test harness with anomalous metadata pattern.,Block deployment; snapshot artifacts for forensic analysis in testbed.,high,,canary|drift|prompt-inject,2026-02-11T06:55:27.476188Z
X0174,191,Containment,prompt_injection,User-submitted prompt pattern matches known 'instruction override' heuristic.,Run statistical comparison; increase sampling; create drift alert.,high,case:SIM-7849,data-quality,2026-02-11T06:55:27.476188Z
X0175,232,Ambiguity,monitoring_alert,Simulated regulator 'request for information' received (exercise).,Block deployment; snapshot artifacts for forensic analysis in testbed.,high,service:sim-7,exfil-detection|throughput|drift,2026-02-11T06:55:27.476188Z
X0176,189,Ambiguity,monitoring_alert,Third-party dataset shows distributional shift vs baseline reference.,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,service:sim-2,canary|drift|data-quality,2026-02-11T06:55:27.476188Z
X0177,26,Decision,prompt_injection,Auxiliary feature store mismatch in column schema detected.,Throttle traffic and fallback to canary; alert SRE.,high,case:SIM-8403,throughput,2026-02-11T06:55:27.476188Z
X0178,132,Containment,model_infiltration,User-submitted prompt pattern matches known 'instruction override' heuristic.,Run statistical comparison; increase sampling; create drift alert.,low,artifact:x0178-artifact,rate-limit|drift|throughput,2026-02-11T06:55:27.476188Z
X0179,229,Decision,prompt_injection,Alerts indicate increase in confident predictions for edge cases (synthetic).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,case:SIM-7192,provenance|prompt-inject|data-quality,2026-02-11T06:55:27.476188Z
X0180,174,Ambiguity,training_job,Third-party dataset shows distributional shift vs baseline reference.,Enable human-in-the-loop for affected paths; log prompts and context.,low,artifact:x0180-artifact,legal,2026-02-11T06:55:27.476188Z
X0181,236,Decision,sla_degrading,Alerts indicate increase in confident predictions for edge cases (synthetic).,Triage and assign owner; collect logs; run canary test.,high,service:sim-4,legal,2026-02-11T06:55:27.476188Z
X0182,99,Ambiguity,training_job,Alerts indicate increase in confident predictions for edge cases (synthetic).,Run statistical comparison; increase sampling; create drift alert.,low,artifact:x0182-artifact,data-quality|prompt-inject|throughput,2026-02-11T06:55:27.476188Z
X0183,52,Decision,media_inquiry,Minor throughput variance during scheduled load window (exercise-only).,Monitor trend for 24h; no action unless persists beyond threshold.,low,,thirdparty|rate-limit,2026-02-11T06:55:27.476188Z
X0184,135,Containment,model_infiltration,Training job completed with unexpected dependency marker (sandbox-only).,Throttle traffic and fallback to canary; alert SRE.,low,artifact:x0184-artifact,prompt-inject,2026-02-11T06:55:27.476188Z
X0185,158,Post-Incident,monitoring_alert,Auxiliary feature store mismatch in column schema detected.,Run statistical comparison; increase sampling; create drift alert.,medium,service:sim-2,latency|throughput|exfil-detection,2026-02-11T06:55:27.476188Z
X0186,34,Ambiguity,sla_degrading,Alerts indicate increase in confident predictions for edge cases (synthetic).,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,service:sim-10,rate-limit,2026-02-11T06:55:27.476188Z
X0187,114,Decision,regulatory_notice,Simulated regulator 'request for information' received (exercise).,Throttle traffic and fallback to canary; alert SRE.,low,,thirdparty|provenance,2026-02-11T06:55:27.476188Z
X0188,170,Decision,media_inquiry,User-submitted prompt pattern matches known 'instruction override' heuristic.,Monitor trend for 24h; no action unless persists beyond threshold.,medium,,prompt-inject,2026-02-11T06:55:27.476188Z
X0189,138,Signal,regulatory_notice,Simulated ingestion artifact with altered column ordering (no PII).,Enable human-in-the-loop for affected paths; log prompts and context.,high,,legal|thirdparty|exfil-detection,2026-02-11T06:55:27.476188Z
X0190,201,Decision,regulatory_notice,Simulated ingestion artifact with altered column ordering (no PII).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,high,,throughput,2026-02-11T06:55:27.476188Z
X0191,196,Ambiguity,model_infiltration,User-submitted prompt pattern matches known 'instruction override' heuristic.,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,artifact:x0191-artifact,data-quality|canary|latency,2026-02-11T06:55:27.476188Z
X0192,184,Ambiguity,ingest_file,Simulated ingestion artifact with altered column ordering (no PII).,Monitor trend for 24h; no action unless persists beyond threshold.,low,artifact:x0192-artifact,exfil-detection|data-quality,2026-02-11T06:55:27.476188Z
X0193,63,Ambiguity,media_inquiry,Synthetic media_inquiry observed in test harness with anomalous metadata pattern.,Correct ingestion script; re-validate dataset; document fix.,low,,throughput,2026-02-11T06:55:27.476188Z
X0194,238,Ambiguity,media_inquiry,User-submitted prompt pattern matches known 'instruction override' heuristic.,Enable human-in-the-loop for affected paths; log prompts and context.,low,,comms|canary|prompt-inject,2026-02-11T06:55:27.476188Z
X0195,21,Containment,ingest_file,User-submitted prompt pattern matches known 'instruction override' heuristic.,Triage and assign owner; collect logs; run canary test.,low,artifact:x0195-artifact,prompt-inject,2026-02-11T06:55:27.476188Z
X0196,154,Ambiguity,regulatory_notice,Training job completed with unexpected dependency marker (sandbox-only).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,high,,canary|data-quality|provenance,2026-02-11T06:55:27.476188Z
X0197,187,Ambiguity,supply_chain_flag,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Enable human-in-the-loop for affected paths; log prompts and context.,medium,,legal|throughput|provenance,2026-02-11T06:55:27.476188Z
X0198,157,Decision,monitoring_alert,Alerts indicate increase in confident predictions for edge cases (synthetic).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,service:sim-8,throughput,2026-02-11T06:55:27.476188Z
X0199,65,Containment,user_report,Synthetic user_report observed in test harness with anomalous metadata pattern.,Legal to assess reporting obligations; prepare holding statement.,low,case:SIM-7749,drift,2026-02-11T06:55:27.476188Z
X0200,96,Post-Incident,supply_chain_flag,Third-party dataset shows distributional shift vs baseline reference.,Run statistical comparison; increase sampling; create drift alert.,medium,,latency|throughput|drift,2026-02-11T06:55:27.476188Z
X0201,117,Ambiguity,media_inquiry,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,,provenance|legal,2026-02-11T06:55:27.476188Z
X0202,129,Ambiguity,training_job,Auxiliary feature store mismatch in column schema detected.,Throttle traffic and fallback to canary; alert SRE.,critical,artifact:x0202-artifact,prompt-inject,2026-02-11T06:55:27.476188Z
X0203,64,Ambiguity,model_infiltration,Simulated regulator 'request for information' received (exercise).,Throttle traffic and fallback to canary; alert SRE.,critical,artifact:x0203-artifact,comms|exfil-detection|provenance,2026-02-11T06:55:27.476188Z
X0204,39,Signal,ingest_file,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Legal to assess reporting obligations; prepare holding statement.,low,artifact:x0204-artifact,throughput|latency,2026-02-11T06:55:27.476188Z
X0205,30,Decision,user_report,Synthetic user_report observed in test harness with anomalous metadata pattern.,Monitor trend for 24h; no action unless persists beyond threshold.,low,case:SIM-9781,legal|throughput,2026-02-11T06:55:27.476188Z
X0206,19,Decision,model_infiltration,Minor throughput variance during scheduled load window (exercise-only).,Monitor trend for 24h; no action unless persists beyond threshold.,low,artifact:x0206-artifact,rate-limit,2026-02-11T06:55:27.476188Z
X0207,51,Ambiguity,regulatory_notice,Minor throughput variance during scheduled load window (exercise-only).,Monitor trend for 24h; no action unless persists beyond threshold.,low,,thirdparty|prompt-inject|rate-limit,2026-02-11T06:55:27.476188Z
X0208,26,Containment,prompt_injection,Auxiliary feature store mismatch in column schema detected.,Quarantine artifact; run provenance checks; notify ML-Ops.,low,case:SIM-7015,provenance|exfil-detection|canary,2026-02-11T06:55:27.476188Z
X0209,84,Decision,supply_chain_flag,User-submitted prompt pattern matches known 'instruction override' heuristic.,Enable human-in-the-loop for affected paths; log prompts and context.,medium,,throughput,2026-02-11T06:55:27.476188Z
X0210,18,Ambiguity,supply_chain_flag,Third-party dataset shows distributional shift vs baseline reference.,Correct ingestion script; re-validate dataset; document fix.,low,,exfil-detection,2026-02-11T06:55:27.476188Z
X0211,157,Decision,supply_chain_flag,Training job completed with unexpected dependency marker (sandbox-only).,Enable human-in-the-loop for affected paths; log prompts and context.,high,,rate-limit,2026-02-11T06:55:27.476188Z
X0212,202,Signal,supply_chain_flag,Auxiliary feature store mismatch in column schema detected.,Throttle traffic and fallback to canary; alert SRE.,low,,provenance,2026-02-11T06:55:27.476188Z
X0213,82,Post-Incident,sla_degrading,Alerts indicate increase in confident predictions for edge cases (synthetic).,Correct ingestion script; re-validate dataset; document fix.,medium,service:sim-5,prompt-inject|canary,2026-02-11T06:55:27.476188Z
X0214,65,Post-Incident,model_infiltration,User-submitted prompt pattern matches known 'instruction override' heuristic.,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,artifact:x0214-artifact,latency|data-quality,2026-02-11T06:55:27.476188Z
X0215,186,Post-Incident,regulatory_notice,Auxiliary feature store mismatch in column schema detected.,Legal to assess reporting obligations; prepare holding statement.,critical,,prompt-inject|rate-limit,2026-02-11T06:55:27.476188Z
X0216,157,Decision,monitoring_alert,User-submitted prompt pattern matches known 'instruction override' heuristic.,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,service:sim-1,provenance|canary,2026-02-11T06:55:27.476188Z
X0217,20,Signal,prompt_injection,Auxiliary feature store mismatch in column schema detected.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,case:SIM-1011,prompt-inject|drift,2026-02-11T06:55:27.476188Z
X0218,47,Decision,supply_chain_flag,Minor throughput variance during scheduled load window (exercise-only).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,,throughput,2026-02-11T06:55:27.476188Z
X0219,165,Containment,media_inquiry,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,,thirdparty|comms,2026-02-11T06:55:27.476188Z
X0220,233,Containment,ingest_file,Third-party dataset shows distributional shift vs baseline reference.,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,artifact:x0220-artifact,thirdparty|prompt-inject,2026-02-11T06:55:27.476188Z
X0221,13,Ambiguity,monitoring_alert,Training job completed with unexpected dependency marker (sandbox-only).,Correct ingestion script; re-validate dataset; document fix.,medium,service:sim-9,comms|legal|latency,2026-02-11T06:55:27.476188Z
X0222,75,Ambiguity,user_report,User-submitted prompt pattern matches known 'instruction override' heuristic.,Throttle traffic and fallback to canary; alert SRE.,medium,case:SIM-8630,rate-limit|comms|provenance,2026-02-11T06:55:27.476188Z
X0223,57,Signal,user_report,Minor throughput variance during scheduled load window (exercise-only).,Monitor trend for 24h; no action unless persists beyond threshold.,low,case:SIM-2815,drift,2026-02-11T06:55:27.476188Z
X0224,91,Post-Incident,supply_chain_flag,User-submitted prompt pattern matches known 'instruction override' heuristic.,Enable human-in-the-loop for affected paths; log prompts and context.,critical,,exfil-detection,2026-02-11T06:55:27.476188Z
X0225,91,Ambiguity,monitoring_alert,Simulated regulator 'request for information' received (exercise).,Monitor trend for 24h; no action unless persists beyond threshold.,medium,service:sim-10,exfil-detection,2026-02-11T06:55:27.476188Z
X0226,168,Signal,training_job,Minor throughput variance during scheduled load window (exercise-only).,Quarantine artifact; run provenance checks; notify ML-Ops.,low,artifact:x0226-artifact,rate-limit,2026-02-11T06:55:27.476188Z
X0227,117,Containment,model_infiltration,Simulated ingestion artifact with altered column ordering (no PII).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,artifact:x0227-artifact,provenance,2026-02-11T06:55:27.476188Z
X0228,14,Ambiguity,training_job,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Run statistical comparison; increase sampling; create drift alert.,high,artifact:x0228-artifact,data-quality|exfil-detection|thirdparty,2026-02-11T06:55:27.476188Z
X0229,79,Ambiguity,training_job,Alerts indicate increase in confident predictions for edge cases (synthetic).,Run statistical comparison; increase sampling; create drift alert.,low,artifact:x0229-artifact,comms|exfil-detection|rate-limit,2026-02-11T06:55:27.476188Z
X0230,24,Signal,prompt_injection,Auxiliary feature store mismatch in column schema detected.,Correct ingestion script; re-validate dataset; document fix.,low,case:SIM-1176,throughput|latency,2026-02-11T06:55:27.476188Z
X0231,115,Signal,training_job,Minor throughput variance during scheduled load window (exercise-only).,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,artifact:x0231-artifact,legal,2026-02-11T06:55:27.476188Z
X0232,83,Containment,media_inquiry,Simulated regulator 'request for information' received (exercise).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,medium,,data-quality|rate-limit|prompt-inject,2026-02-11T06:55:27.476188Z
X0233,16,Decision,supply_chain_flag,Third-party dataset shows distributional shift vs baseline reference.,Monitor trend for 24h; no action unless persists beyond threshold.,low,,throughput|data-quality|provenance,2026-02-11T06:55:27.476188Z
X0234,146,Ambiguity,sla_degrading,Simulated regulator 'request for information' received (exercise).,Correct ingestion script; re-validate dataset; document fix.,medium,service:sim-8,legal|thirdparty|provenance,2026-02-11T06:55:27.476188Z
X0235,6,Ambiguity,supply_chain_flag,Canary latency spike observed on inference endpoint; synthetic traffic elevated.,Legal to assess reporting obligations; prepare holding statement.,low,,thirdparty|comms,2026-02-11T06:55:27.476188Z
X0236,156,Ambiguity,model_infiltration,Alerts indicate increase in confident predictions for edge cases (synthetic).,Run statistical comparison; increase sampling; create drift alert.,low,artifact:x0236-artifact,legal,2026-02-11T06:55:27.476188Z
X0237,79,Ambiguity,training_job,Alerts indicate increase in confident predictions for edge cases (synthetic).,Block deployment; snapshot artifacts for forensic analysis in testbed.,medium,artifact:x0237-artifact,thirdparty,2026-02-11T06:55:27.476188Z
X0238,191,Decision,monitoring_alert,Simulated regulator 'request for information' received (exercise).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,low,service:sim-6,latency|canary,2026-02-11T06:55:27.476188Z
X0239,11,Containment,monitoring_alert,Training job completed with unexpected dependency marker (sandbox-only).,Legal to assess reporting obligations; prepare holding statement.,low,service:sim-10,legal|data-quality|provenance,2026-02-11T06:55:27.476188Z
X0240,127,Ambiguity,supply_chain_flag,Training job completed with unexpected dependency marker (sandbox-only).,Quarantine artifact; run provenance checks; notify ML-Ops.,low,,data-quality,2026-02-11T06:55:27.476188Z
X0241,175,Ambiguity,user_report,Minor throughput variance during scheduled load window (exercise-only).,Triage and assign owner; collect logs; run canary test.,critical,case:SIM-9307,drift|legal,2026-02-11T06:55:27.476188Z
X0242,215,Decision,sla_degrading,User-submitted prompt pattern matches known 'instruction override' heuristic.,Correct ingestion script; re-validate dataset; document fix.,low,service:sim-3,drift|throughput|provenance,2026-02-11T06:55:27.476188Z
X0243,31,Containment,model_infiltration,Simulated regulator 'request for information' received (exercise).,Legal to assess reporting obligations; prepare holding statement.,medium,artifact:x0243-artifact,canary|drift|latency,2026-02-11T06:55:27.476188Z
X0244,90,Ambiguity,prompt_injection,Simulated ingestion artifact with altered column ordering (no PII).,Block deployment; snapshot artifacts for forensic analysis in testbed.,low,case:SIM-3015,thirdparty|data-quality|latency,2026-02-11T06:55:27.476188Z
X0245,109,Ambiguity,media_inquiry,Simulated ingestion artifact with altered column ordering (no PII).,Quarantine artifact; run provenance checks; notify ML-Ops.,critical,,rate-limit|thirdparty,2026-02-11T06:55:27.476188Z
X0246,201,Signal,sla_degrading,Simulated ingestion artifact with altered column ordering (no PII).,Flag as potential model-exfil pattern; restrict API keys; audit queries.,high,service:sim-7,data-quality|prompt-inject,2026-02-11T06:55:27.476188Z
X0247,119,Signal,supply_chain_flag,Auxiliary feature store mismatch in column schema detected.,Run statistical comparison; increase sampling; create drift alert.,low,,thirdparty|latency|provenance,2026-02-11T06:55:27.476188Z
X0248,233,Containment,model_infiltration,Training job completed with unexpected dependency marker (sandbox-only).,Run statistical comparison; increase sampling; create drift alert.,critical,artifact:x0248-artifact,comms|canary,2026-02-11T06:55:27.476188Z
X0249,93,Signal,user_report,Simulated ingestion artifact with altered column ordering (no PII).,Run statistical comparison; increase sampling; create drift alert.,high,case:SIM-9270,drift|latency,2026-02-11T06:55:27.476188Z
X0250,185,Post-Incident,training_job,Synthetic training_job observed in test harness with anomalous metadata pattern.,Triage and assign owner; collect logs; run canary test.,medium,artifact:x0250-artifact,prompt-inject|legal,2026-02-11T06:55:27.476188Z
